,title,text,label
3,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries","The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries",FAKE
4,The health experts had predicted the virus could kill 65 million people in a year,The health experts had predicted the virus could kill 65 million people in a year,FAKE
8,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead","The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",FAKE
10,"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""","Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""",U
15,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,FAKE
21,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases,TRUE
22,The Chinese government is building a hospital in 10 days to deal with the new coronavirus,The Chinese government is building a hospital in 10 days to deal with the new coronavirus,TRUE
28,"U.S. President Donald Trump referred to the new coronavirus as a ""hoax.""","U.S. President Donald Trump referred to the new coronavirus as a ""hoax.""",U
33,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families","U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families",TRUE
34,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch�?,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch�?,FAKE
53,The coronavirus is “heat resistant�?,The coronavirus is “heat resistant�?,U
56,Viral particles released during a sneeze can reach 10 feet,Viral particles released during a sneeze can reach 10 feet,U
57,The coronavirus survive longer on metal surfaces,The coronavirus survive longer on metal surfaces,TRUE
58,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel","We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel",TRUE
64,Video shows China lifts ban on Korans during COVID-19 pandemic,Video shows China lifts ban on Korans during COVID-19 pandemic,FAKE
65,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy,FAKE
72,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients,TRUE
73,Videos show people collapsing on the street due to coronavirus,Videos show people collapsing on the street due to coronavirus,U
91,WHO has released “protocols and procedures” of lockdown periods to fight Covid-19,WHO has released “protocols and procedures” of lockdown periods to fight Covid-19,FAKE
97,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore","Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore",TRUE
99,The United States offered large sums of money to secure a COVID-19 vaccine for exclusive U.S. use,The United States offered large sums of money to secure a COVID-19 vaccine for exclusive U.S. use,U
100,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records","The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records",TRUE
102,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it","The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it",TRUE
103,There is no risk of spread through sweat,There is no risk of spread through sweat,U
107,You will get a free coronavirus test by donating blood,You will get a free coronavirus test by donating blood,FAKE
109,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak,TRUE
111,The novel coronavirus can live for two to three days on plastic and stainless steel,The novel coronavirus can live for two to three days on plastic and stainless steel,TRUE
137,"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus","With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus",TRUE
143,This photo shows the Italian president crying over COVID-19,This photo shows the Italian president crying over COVID-19,FAKE
148,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic,TRUE
149,"The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from�?either March 16 or March 17, depending on the post","The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from�?either March 16 or March 17, depending on the post",FAKE
152,"The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23","The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23",FAKE
166,"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,�?suggesting that the new coronavirus is being “hyped�?to hurt President Donald Trump","Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,�?suggesting that the new coronavirus is being “hyped�?to hurt President Donald Trump",FAKE
169,The novel coronavirus has a contagion factor of 2,The novel coronavirus has a contagion factor of 2,U
170,"The “cure rate�?for people under 50 infected with COVID-19 is 99.7%, which would equate to a death rate of 0.3%","The “cure rate�?for people under 50 infected with COVID-19 is 99.7%, which would equate to a death rate of 0.3%",U
171,The spread of COVID-19 is leveling off,The spread of COVID-19 is leveling off,FAKE
175,There is currently no specific medicine recommended to prevent or treat the new coronavirus,There is currently no specific medicine recommended to prevent or treat the new coronavirus,TRUE
178,"While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus","While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus",TRUE
181,Within 48 to 72 Hours�?The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network,Within 48 to 72 Hours�?The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network,FAKE
182,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media,FAKE
185,Vaccine for COVID-19 is now available,Vaccine for COVID-19 is now available,FAKE
196,"The total number of deaths from Covid-19 in Italy rose from 233 to 4,032 over about two weeks","The total number of deaths from Covid-19 in Italy rose from 233 to 4,032 over about two weeks",TRUE
202,"The total number of deaths from Covid-19 in the UK is now at 233, the same number of deaths reported in Italy about two weeks ago","The total number of deaths from Covid-19 in the UK is now at 233, the same number of deaths reported in Italy about two weeks ago",TRUE
204,Youngsters deliberately coughing on produce in grocery stores during the COVID-19 pandemic is a nationwide trend in the U.S,Youngsters deliberately coughing on produce in grocery stores during the COVID-19 pandemic is a nationwide trend in the U.S,FAKE
205,"The US is charging over $3,000 per test�?for patients who may have COVID-19","The US is charging over $3,000 per test�?for patients who may have COVID-19",FAKE
206,"The U.S. Food and Drug Administration has authorized the use of two tests, one from the Centers for Disease Control and Prevention and one from the New York State Department of Public Health. Neither agency is currently charging patients for the test","The U.S. Food and Drug Administration has authorized the use of two tests, one from the Centers for Disease Control and Prevention and one from the New York State Department of Public Health. Neither agency is currently charging patients for the test",TRUE
208,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus,FAKE
212,"The new coronavirus would “go away�?in April, as temperatures warm","The new coronavirus would “go away�?in April, as temperatures warm",U
214,Vitamin C can stop the new coronavirus,Vitamin C can stop the new coronavirus,FAKE
216,"The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C","The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C",FAKE
221,The new coronavirus contains HIV insertions and shows signs of being created in a lab. So it was bioengineered,The new coronavirus contains HIV insertions and shows signs of being created in a lab. So it was bioengineered,FAKE
222,"The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals","The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals",FAKE
223,"The new coronavirus, also known as 2019 novel coronavirus, or 2019-nCoV, and HIV, largely based on an unpublished manuscript by scientists in India","The new coronavirus, also known as 2019 novel coronavirus, or 2019-nCoV, and HIV, largely based on an unpublished manuscript by scientists in India",FAKE
224,"Very short insertions in the coronavirus protein sequence had an uncanny similarity to HIV, so we can conclude they derive from HIV","Very short insertions in the coronavirus protein sequence had an uncanny similarity to HIV, so we can conclude they derive from HIV",FAKE
225,The coronavirus has been genetically engineered for the purposes of a weapon,The coronavirus has been genetically engineered for the purposes of a weapon,FAKE
226,The new virus could have leaked from a Chinese lab working on a vaccine,The new virus could have leaked from a Chinese lab working on a vaccine,FAKE
231,The coronavirus was created by a Chinese spy team,The coronavirus was created by a Chinese spy team,FAKE
235,"There are “thousands�?or �?0,000�?dead as a result of the Wuhan coronavirus. As of early Jan. 27, the estimated death toll is 81 �?all of them in China","There are “thousands�?or �?0,000�?dead as a result of the Wuhan coronavirus. As of early Jan. 27, the estimated death toll is 81 �?all of them in China",FAKE
238,The first cases of COVID-19 were reported in the United States and South Korea on the same day,The first cases of COVID-19 were reported in the United States and South Korea on the same day,TRUE
241,There is connection between the outbreak of coronavirus in China and any RCMP investigation,There is connection between the outbreak of coronavirus in China and any RCMP investigation,FAKE
242,US Pharmaceutical develops vaccine for COVID-19 in 3 hours,US Pharmaceutical develops vaccine for COVID-19 in 3 hours,FAKE
243,Video shows Jack Ma praising China’s response to COVID-19 in speech,Video shows Jack Ma praising China’s response to COVID-19 in speech,FAKE
245,There a patent for the coronavirus from 2015,There a patent for the coronavirus from 2015,FAKE
250,"The television show ""My Secret Terrius"" predicted the 2020 COVID-19 outbreak","The television show ""My Secret Terrius"" predicted the 2020 COVID-19 outbreak",FAKE
254,"Washing bed linen or towels at 60C is a good idea, as this can kill any viruses in the fabric","Washing bed linen or towels at 60C is a good idea, as this can kill any viruses in the fabric",TRUE
258,There are four young people in an intensive care unit in Cork who have no underlying illnesses - all were taking anti-inflammatories and there are concerns this has caused a more severe illness,There are four young people in an intensive care unit in Cork who have no underlying illnesses - all were taking anti-inflammatories and there are concerns this has caused a more severe illness,FAKE
262,The vast majority of people who died of Covid-19 had ibuprofen in their system,The vast majority of people who died of Covid-19 had ibuprofen in their system,FAKE
265,Vaccine was reportedly distributed to shops and homes in one particular area of the Venice region,Vaccine was reportedly distributed to shops and homes in one particular area of the Venice region,FAKE
